,datetime,open,high,low,close,volume,upper,lower,Change
57,2021-04-07,1.12,1.15,1.1,1.12,12150.0,0.03,0.02,0.0
58,2021-04-06,1.02,1.06,0.9906,1.05,326400.0,0.04,0.0294,-0.03
59,2021-04-05,1.0,1.06,0.98,1.03,552764828.0,0.06,0.02,-0.03
60,2021-04-01,0.989,0.99,0.96,0.98,139000.0,0.001,0.029,0.009
61,2021-03-31,0.901,0.994,0.901,0.94,5250.0,0.093,0.0,-0.039
62,2021-03-30,0.9105,0.95,0.905,0.92,1263600.0,0.0395,0.0055,-0.0095
63,2021-03-29,1.0,1.0,0.92,0.92,16976.0,0.0,0.08,0.08
64,2021-03-26,1.01,1.01,0.97,0.9935,11650.0,0.0,0.04,0.0165
65,2021-03-25,0.98,0.98,0.935,0.97,39319905.0,0.0,0.045,0.01
66,2021-03-24,1.05,1.07,1.0,1.06,17894.0,0.02,0.05,-0.01
67,2021-03-23,1.11,1.13,1.07,1.07,0.0,0.02,0.04,0.04
68,2021-03-22,1.13,1.13,1.1,1.11,51398.0,0.0,0.03,0.02
69,2021-03-19,1.1,1.14,1.04,1.13,30156.0,0.04,0.06,-0.03
70,2021-03-18,1.11,1.16,1.08,1.12,74952.0,0.05,0.03,-0.01
71,2021-03-17,1.045,1.07,1.01,1.03,89097.0,0.025,0.035,0.015
72,2021-03-16,1.1,1.1,1.03,1.07,11370.0,0.0,0.07,0.03
73,2021-03-15,1.06,1.06,1.0,1.02,28547.0,0.0,0.06,0.04
74,2021-03-12,1.05,1.08,0.99,1.055,28094.0,0.03,0.06,-0.005
75,2021-03-11,0.99,0.99,0.95,0.955,45281.0,0.0,0.04,0.035
76,2021-03-10,1.0,1.01,0.94,0.99,18559.0,0.01,0.06,0.01
77,2021-03-09,0.995,0.995,0.95,0.99,69370.0,0.0,0.045,0.005
78,2021-03-08,1.0,1.07,0.951,1.01,86645.0,0.07,0.049,-0.01
79,2021-03-05,0.9405,0.98,0.91,0.951,174284.0,0.0395,0.0305,-0.0105
80,2021-03-04,1.05,1.05,0.94,1.0,571207.0,0.0,0.11,0.05
81,2021-03-03,1.05,1.13,1.05,1.05,80537.0,0.08,0.0,0.0
82,2021-03-02,1.12,1.12,1.07,1.09,100216.0,0.0,0.05,0.03
83,2021-03-01,1.1175,1.15,1.1175,1.13,78614.0,0.0325,0.0,-0.0125
84,2021-02-26,1.14,1.14,1.08,1.12,90877.0,0.0,0.06,0.02
85,2021-02-25,1.15,1.25,1.125,1.14,194511.0,0.1,0.025,0.01
86,2021-02-24,1.15,1.23,1.15,1.23,259717.0,0.08,0.0,-0.08
87,2021-02-23,1.31,1.31,1.13,1.16,290685.0,0.0,0.18,0.15
88,2021-02-22,1.246,1.33,1.21,1.27,192306.0,0.084,0.036,-0.024
89,2021-02-19,1.185,1.2,1.16,1.17,79262.0,0.015,0.025,0.015
90,2021-02-19,1.205,1.205,1.16,1.17,108400.0,0.0,0.045,0.035
91,2021-02-18,1.18,1.25,1.15,1.18,306215.0,0.07,0.03,0.0
92,2021-02-17,1.24,1.24,1.15,1.1524,91582.0,0.0,0.09,0.0876
93,2021-02-16,1.26,1.26,1.15,1.225,132823.0,0.0,0.11,0.035
94,2021-02-12,1.17,1.2,1.11,1.195,181289.0,0.03,0.06,-0.025
95,2021-02-11,1.25,1.29,1.12,1.175,498514.0,0.04,0.13,0.075
96,2021-02-10,1.23,1.31,1.1,1.24,447168.0,0.08,0.13,-0.01
97,2021-02-09,1.45,1.45,1.29,1.3,837000.0,0.0,0.16,0.15
98,2021-02-08,1.178,1.73,1.178,1.41,1481412.0,0.552,0.0,-0.232
99,2021-02-05,1.17,1.19,1.16,1.19,34282.0,0.02,0.01,-0.02
